timestamp,src_ip,dst_ip,src_port,dst_port,txid,input_addresses,input_amounts,output_addresses,output_amounts,geo_country,asn,fee_sats,vsize,script_types,block_height,msg_type,observer_id
2026-03-01T09:00:00.000000+00:00,203.0.113.11,198.51.100.10,41221,8333,f1a7000100000000000000000000000000000000000000000000000000000000,,,bc1qfixture0qqqqqqqqqqqqqqqqqqqqqqqpoolhot,312500000,IN,64496,0,200,p2wpkh,880001,inv,obs-1
2026-03-01T09:00:00.001200+00:00,203.0.113.12,198.51.100.11,41222,8333,f1a7000100000000000000000000000000000000000000000000000000000000,,,bc1qfixture0qqqqqqqqqqqqqqqqqqqqqqqpoolhot,312500000,IN,64496,0,200,p2wpkh,880001,inv,obs-2
2026-03-01T09:00:00.004800+00:00,203.0.113.31,198.51.100.12,41241,8333,f1a7000100000000000000000000000000000000000000000000000000000000,,,bc1qfixture0qqqqqqqqqqqqqqqqqqqqqqqpoolhot,312500000,DE,64498,0,200,p2wpkh,880001,tx,obs-3
2026-03-01T09:00:00.009100+00:00,203.0.113.21,198.51.100.13,41231,8333,f1a7000100000000000000000000000000000000000000000000000000000000,,,bc1qfixture0qqqqqqqqqqqqqqqqqqqqqqqpoolhot,312500000,US,64497,0,200,p2wpkh,880001,inv,obs-4
2026-03-01T09:00:00.015400+00:00,203.0.113.51,198.51.100.10,41261,8333,f1a7000100000000000000000000000000000000000000000000000000000000,,,bc1qfixture0qqqqqqqqqqqqqqqqqqqqqqqpoolhot,312500000,NL,64500,0,200,p2wpkh,880001,inv,obs-1
2026-03-01T09:00:00.022000+00:00,203.0.113.41,198.51.100.11,41251,8333,f1a7000100000000000000000000000000000000000000000000000000000000,,,bc1qfixture0qqqqqqqqqqqqqqqqqqqqqqqpoolhot,312500000,SG,64499,0,200,p2wpkh,880001,inv,obs-2
2026-03-01T09:00:00.031000+00:00,192.0.2.11,198.51.100.12,41301,8333,f1a7000100000000000000000000000000000000000000000000000000000000,,,bc1qfixture0qqqqqqqqqqqqqqqqqqqqqqqpoolhot,312500000,SG,64503,0,200,p2wpkh,880001,tx,obs-3
2026-03-01T09:00:00.044000+00:00,203.0.113.61,198.51.100.13,41271,8333,f1a7000100000000000000000000000000000000000000000000000000000000,,,bc1qfixture0qqqqqqqqqqqqqqqqqqqqqqqpoolhot,312500000,IN,64501,0,200,p2wpkh,880001,inv,obs-4
2026-03-01T09:00:00.061000+00:00,203.0.113.71,198.51.100.10,41281,8333,f1a7000100000000000000000000000000000000000000000000000000000000,,,bc1qfixture0qqqqqqqqqqqqqqqqqqqqqqqpoolhot,312500000,US,64502,0,200,p2wpkh,880001,inv,obs-1
2026-03-01T09:02:00.000000+00:00,203.0.113.41,198.51.100.10,41251,8333,f1a7000500000000000000000000000000000000000000000000000000000000,bc1qfixture0qqqqqqqqqqqqqqqqqqqqqqqqqusera,5000000,bc1qfixture0qqqqqqqqqqqqqqqqqqqqqqqqmercha|bc1qfixture0qqqqqqqqqqqqqqqqqqqqqqqchangea,3200000|1795000,SG,64499,5000,141,p2wpkh|p2wpkh,880003,inv,obs-1
2026-03-01T09:04:00.000000+00:00,203.0.113.11,198.51.100.10,41221,8333,f1a7000600000000000000000000000000000000000000000000000000000000,bc1qfixture0qqqqqqqqqqqqqqqqqqqqqqqqquserb|bc1qfixture0qqqqqqqqqqqqqqqqqqqqqqqqquserc,8000000|4000000,bc1qfixture0qqqqqqqqqqqqqqqqqqqqqqqqmerchb|bc1qfixture0qqqqqqqqqqqqqqqqqqqqqqqchangeb,9500000|2492000,IN,64496,8000,208,p2wpkh|p2wpkh,,inv,obs-1
2026-03-01T09:04:00.000700+00:00,203.0.113.12,198.51.100.11,41222,8333,f1a7000600000000000000000000000000000000000000000000000000000000,bc1qfixture0qqqqqqqqqqqqqqqqqqqqqqqqquserb|bc1qfixture0qqqqqqqqqqqqqqqqqqqqqqqqquserc,8000000|4000000,bc1qfixture0qqqqqqqqqqqqqqqqqqqqqqqqmerchb|bc1qfixture0qqqqqqqqqqqqqqqqqqqqqqqchangeb,9500000|2492000,IN,64496,8000,208,p2wpkh|p2wpkh,,inv,obs-2
